,པ,་དང་ཆོས་ཐམས་ཅད་སྟོང་
,པ,་ནི་ཆོས་ཐམས་ཅད་སྦྲུལ་
,པ,་མཉམ་
,པ,་མེད་
,པ,་འགྲོ་བ་མཐའ་དག་སྤྲུལ་
,པ,་རྣམས་ཀྱི་རྣམ་
,པ,་ཤིན་ཏུ་མཆོག་ཏུ་གྱུར་
,པ,་སྔོན་དུ་འགྲོ་བའི་སྟོང་
,པ,་སྟེདེ་ལྟ་བས་ན་སྟོང་
,པ,་སྨོས་ཏེརྒྱུ་བཞི་ལས་སྟོང་
,པ,འི་ཡོན་ཏན་མཆོག་ཏུ་གྱུར་
,པ,འི་སྒོ་ནས་དྲོ་བར་གྱུར་
,པ,འི་སྙིང་བརྩེ་བ་ཡང་འཁྲུལ་
,པ,ར་གྲོལ་བར་བྱེད་ཅེ་ནསྟོང་
,པ,ར་ན་ཇི་ལྟར་ལྟད་མོ་
,པ,ར་ན་དེའི་དམིགས་
,པ,ར་བསྒྲུབ་
,པ,ར་རྟོག་
,པ,ས་དེ་བཞིན་གཤེགས་
,པ,ོ་ནི་ཆོས་ཐམས་ཅད་སྟོང་
ཀྱི་ནམ་མཁའའི་དངོས་,པ,ོར་གྱུར་
ཀྱིས་ནི་རབ་ཏུ་ཟིན་གྱུར་,པ,་ཞེས་བྱ་བ་ནི་
ཁོ་ནར་འགྱུར་བསད,པ,ེར་ན་ཚོང་
ཁྲོས་བའི་སེམས་དང་ལྡན་གྱུར་,པ,་ནི་ད་ལྟར་བྱུང་
གཞན་,པ,་ནི་གལ་ཏེ་བསྐལ་
གཟུགས་ལ་སོགས་,པ,་དང་སྟོང་
གཟུང་བ་ནི་ལྐོག་ཏུ་གྱུར་,པ,་ཡིན་དུ་ཟད་མོད་
གིས་གདོན་མི་ཟ་བར་འཁྲུལ་,པ,་འདི་ཁོ་ན་རྟག་
གྱི་དངོས་,པ,ོ་དང་དེ་སྟོང་
གྱིས་འཕེལ་བའི་རྩེ་མོར་གྱུར་,པ,་ལས་གཟུང་བ་དང་
ངོ་བོ་སྤྱོད་ཡུལ་དུ་གྱུར་,པ,་ཡིན་
ཅེ་ནའདི་ལྟར་བྱེ་བྲག་གྱུར་,པ,་མེད་དེ་ཐམས་ཅད་
ཆུ་ཀླུང་ནི་གང་གཱ་དང་,པ,་ཀྵུ་དང་སིན་དྷུ་
ཆུབ་དམ་,པ,འི་གེགས་སུ་གྱུར་
ཆེན་,པ,ོའི་བསྔོ་བ་སྟེ་ལྔ་
ཉིད་ཀྱི་ཕྱིར་ཏེཤེས་རབ་འཆལ་,པ,་དགེ་བའི་བཤེས་གཉེན་
ཉིད་དང་ཡུལ་རིག་,པ,ར་འབྲེལ་
ཉིད་ན་བཅིངས་,པ,་དང་ཐར་
ཉིད་ཡིན་ཡང་ས་ལས་གྱུར་,པ,་མ་ཡིན་
ཏུ་མངོན་སུམ་དུ་མ་གྱུར་,པ,་ནི་སྐྱེད་
ཏེ་ཕུང་,པ,ོ་དག་ལ་སྟོང་
ཏེལུས་ད,པ,ག་ཚད་བརྒྱ་ལྔ་བཅུ་
ཐ་དད་,པ,ར་མཐོང་བར་གྱུར་
ཐ་མ་འབྲིང་དང་མཆོག་གྱུར་,པ,་ཉིད་ནི་གོ་རིམས་
ཐམས་ཅད་ཀྱི་མིག་ཏུ་གྱུར་,པ,་ཉིད་ཀྱིས་ཐམས་ཅད་
ཐམས་ཅད་ཀྱི་རྩ་བར་གྱུར་,པ,་ཤེས་རབ་ཀྱི་ཕ་
དང་མཐུན་,པ,ར་དྲོ་བར་གྱུར་
དངོས་,པ,ོ་མེད་
དམིགས་,པ,་སྟེདེ་ལྟ་བུར་གྱུར་
དུ་ཐེག་,པ,འི་མཆོག་ཏུ་གྱུར་
དུ་བྱང་ཆུབ་སེམས་ད,པ,འ་སྟོང་
དུ་བྱུང་བའི་རྟགས་ཏེ་དགུ་,པ,་ནི་ཇི་ལྟར་ཞེས་
དུ་འགྲོ་བ་ནི་རྒྱུར་གྱུར་,པ,་ཡིན་ཏེཕྱིན་ཅི་ལོག་
དེ་ལྟ་བས་ན་རྣལ་འབྱོར་,པ,་སེམས་ཀྱི་འཇུག་
ན་ཞེས་བྱ་བ་ནི་སྟོང་,པ,་ཉིད་དུ་རོ་གཅིག་
ན་འདིས་ནི་ཕུང་,པ,ོ་འཁྲུལ་
ན་སེམས་ཅན་དབུལ་,པ,ོར་གྱུར་
ནས་སྒྱུ་མ་བྱས་,པ,་འཁྲུལ་
ནི་དང་,པ,ོར་ས་ལས་གྱུར་
ནི་མངོན་དུ་བྱེད་,པ,ར་གྱུར་
ནི་ཤིན་ཏུ་སྨག་ཏུ་གྱུར་,པ,་སྟེ་མཚན་མོ་ཞེས་
ནི་ཤེས་རབ་ཕུལ་དུ་གྱུར་,པ,་སྒྲུབ་
ཕན་,པ,་ཞེས་བྱ་བ་འབྲེལ་
ཕྱིར་དེ་བཞིན་ཉིད་དེ་སྟོང་,པ,་ཉིད་དེ་ནི་རྟག་
ཕྱིར་ཤེས་རབ་གང་གིས་སྟོང་,པ,་ལ་སོགས་
ཕྱེ་བའི་ཕྱིར་དྲོ་བར་གྱུར་,པ,་ཆུང་ངུ་ཡིན་
བ་ཆེན་,པ,ོའི་ངང་དུ་གྱུར་
བ་དང་ལྡན་,པ,་ནི་ཚོང་
བ་ལ་ཆོས་ཉིད་ནི་སྟོང་,པ,་ཉིད་དེགང་གི་ཕྱིར་
བ་ལ་སོགས་,པ,་སྨོས་ཏེབསྐལ་
བ་སྨོས་ཏེམེད་,པ,་ནི་སྐུར་
བ་སྨོས་ཏེའདི་ལྟར་ནང་སྟོང་,པ,་ཉིད་ལ་སོགས་
བདག་མངོན་སུམ་དུ་མ་གྱུར་,པ,་དང་འབྲེལ་བ་མི་
བཞིན་དུ་ཆོས་ཐམས་ཅད་སྟོང་,པ,་ཉིད་དུ་རྟོགས་
བའི་ཕྱིར་བརྩོན་,པ,འི་རྣལ་འབྱོར་
བར་སྦྱར་ཏེརྫུ་འཕྲུལ་གྱི་རྐང་,པ,་དག་ལ་གནས་
བཤད་,པ,་ཡིན་ཏེལྐོག་ཏུ་གྱུར་
བསྟན་,པ,འི་ཕྱིར་ཆོས་རྣམས་སྟོང་
བོ་གཞན་གྱི་དབང་དུ་གྱུར་,པ,་དེ་ཞེས་བྱ་བའི་
བྱ་བ་ནི་དྲོ་བར་གྱུར་,པ,་ཐོབ་
བྱ་བ་ནི་བདག་གི་བསྐལ་,པ,་བྱེ་བ་འདི་སྙེད་
བྱ་བ་ནི་འགྲོ་བ་འཁྲུལ་,པ,་ཞེས་བྱ་བར་སྦྱར་
བྱ་བ་ནི་འགྲོ་བ་སྤྲུལ་,པ,་དང་འདྲ་བར་ཤེས་
བྱ་བ་ནི་རྩེ་མོར་གྱུར་,པ,་ཆེན་
བྱ་བའི་མཚན་ཉིད་ཀྱི་འབྲེལ་,པ,་ནི་ཚིགས་སུ་བཅད་
བྱ་བར་སྦྱར་ཏེལྟ་བར་གྱུར་,པ,་ཐམས་ཅད་བདག་ཏུ་
བྱ་སྟེའདི་ནི་རྩེ་མོར་གྱུར་,པ,་ཆུང་ངུ་ཡིན་ནོ་
བྱང་ཆུབ་སེམས་ད,པ,འ་དེས་སྟོང་
བྱང་ཆུབ་སེམས་ད,པ,འ་ཡང་སྟོང་
བྱམས་,པ,འི་སྦྱོར་བ་དང་སྟོང་
བྲལ་བ་ལས་མཆོག་ཏུ་གྱུར་,པ,་གཞན་ཅི་ཞིག་ཡོད་
མ་གཏོགས་,པ,་ལྐོག་ཏུ་གྱུར་
མ་ཅུང་ཟད་ཅིག་གིས་བསྐལ་,པ,་དེ་སྙེད་དུ་བསྒྲུབ་
མ་མེད་,པ,འི་ཐབས་ནི་སྟོང་
མ་ཡིན་ཏེདོན་ལྐོག་ཏུ་གྱུར་,པ,་ལ་རྟགས་ཀྱིས་སྐྱེད་
མ་ལུས་,པ,འི་འོས་སུ་གྱུར་
མཆོག་ཕུལ་དུ་བྱུང་བར་གྱུར་,པ,་ཡིན་ཏེའདི་ལྟར་འགྲོ་
མཇུག་ཐོགས་སུ་རྩེ་མོར་གྱུར་,པ,་སྣང་བ་མཆེད་
མཐའ་དག་གི་གཉེན་,པ,ོར་གྱུར་
མི་དམིགས་,པ,འི་ཐབས་ནི་སྤྲུལ་
མི་སྐྱོ་བ་བཞིན་དུ་སྟོང་,པ,་ཉིད་ལ་གནས་
མེད་,པ,ར་བསྟན་
མེད་ཅེས་བྱ་བ་ནི་སྟོང་,པ,་ཉིད་ནི་ནམ་མཁའ་
མོ་ཉིད་བསྟན་,པ,འི་ཕྱིར་སྟོང་
མོ་རྗེ་བོ་དབང་དུ་གྱུར་,པ,་དེ་ཉིད་གསལ་བར་
ཙམ་གྱི་མཇུག་ཐོགས་སུ་འཁྲུལ་,པ,་དང་བྲལ་བའི་ཡེ་
ཞེས་བྱ་བ་སྨོས་ཏེནང་སྟོང་,པ,་ཉིད་ལ་སོགས་
ཟག་ལ་སོགས་,པ,་དང་འབྲེལ་
འགལ་བའི་ཕྱིར་ཏེལྐོག་ཏུ་གྱུར་,པ,་ཉིད་ནི་རྟོགས་
འདི་དག་ནི་དྲོ་བར་གྱུར་,པ,་ལ་སོགས་
འདོད་ཅེས་བྱ་བ་ནི་ཐར་,པ,་འདོད་ཅེས་བྱ་བའི་
འབྱུང་བ་ཡིན་ཏེཡུན་རིང་འབྲེལ་,པ,་ཞེས་བྱ་བ་ནི་
འཛིན་,པ,་
ཡང་མ་ཡིན་ཏེདེ་ཡང་འཁྲུལ་,པ,་དང་བྲལ་བ་ཙམ་
ཡིན་ཏེདེ་དག་རྗེས་སུ་འབྲེལ་,པ,་རྟོགས་
རང་རྒྱལ་བའི་དྲོ་བར་གྱུར་,པ,་ལ་སོགས་
རབ་དང་རགས་,པ,་དག་འབྲེལ་
རིང་བའི་སྒོ་ནས་ནི་བསྐལ་,པ,་དུ་མར་ཡང་དག་
རིའི་བུ་གཟུགས་ནི་ནང་སྟོང་,པ,་ཉིད་ཀྱི་ཕྱིར་ཡོད་
རོལ་གྱི་དོན་ལྐོག་ཏུ་གྱུར་,པ,་ཡིན་ན་ཉམས་སུ་
རོལ་དེའི་བདག་ཉིད་དུ་གྱུར་,པ,་དེ་དག་ནི་ཤེས་
རྗེས་སུ་ཡི་རང་ན་ཐར་,པ,་འདོད་
རྣམ་,པ,ས་མེད་
རྣམས་ཞེས་བྱ་བ་ནི་སྟོང་,པ,་ཉིད་ལ་སོགས་
རྩ་གཉིས་ཏེ་ལྟ་བར་གྱུར་,པ,་དྲུག་ཅུ་རྩ་གཉིས་
ལ་མཚན་མར་བརྗོད་,པ,འི་འབྲེལ་
ལ་རྟགས་དང་རྟགས་ཅན་འབྲེལ་,པ,་རྟོགས་
ལ་སོགས་,པ,་ཉིད་ཀྱིས་སྟོང་
ལ་སོགས་,པ,་ནི་དེ་སྤྲུལ་
ལ་སོགས་,པ,་བཞིན་དུ་འབྲེལ་
ལ་སོགས་,པ,་ས་ལས་གྱུར་
ལ་སོགས་,པ,འི་དྲོ་བར་གྱུར་
ལྟ་བ་དང་ལྡན་,པ,འི་སྟོང་
ལྟ་བུ་ནི་རྩེ་མོར་གྱུར་,པ,་ཤེས་
ལྡན་འདས་ཀྱི་སློབ་མར་གྱུར་,པ,་རབ་འབྱོར་ལ་སོགས་
ཤིན་ཏུ་བྱ་དཀའ་བའི་སྟོང་,པ,་ཉིད་ལ་གནས་
ཤེས་,པ,་ཐམས་ཅད་ལ་འཁྲུལ་
སུ་ཟིན་ཀྱང་ཚུལ་ཁྲིམས་འཆལ་,པ,་ཉིད་མ་ཡིན་
སུ་འཛིན་,པ,འི་བྱེད་
སུ་སྨིན་,པ,ར་བྱེད་ཅེ་ནསྟོང་
སུམ་མ་ཡིན་,པ,་དང་འབྲེལ་
སེམས་ཅན་རྣམས་ལ་ཆོས་སྟོང་,པ,་ཉིད་རབ་ཏུ་སྟོན་
སེམས་མཁའ་འགྲོ་བྱ་ལྟར་གྱུར་,པ,་ཉིད་ནི་སྲིད་
སོགས་,པ,་གཞན་མཆོག་ཏུ་གྱུར་
སོགས་,པ,་གསུངས་
སོགས་,པ,་ཉེ་བའི་གཞིར་གྱུར་
སྐྲག་,པ,ར་བྱེད་
སྒོ་ཞེས་བྱ་བ་ནི་སྟོང་,པ,་དང་མཚན་མ་མེད་
སྟེ་གལ་ཏེ་འགྲོ་བ་འཁྲུལ་,པ,་ཙམ་ཡིན་ན་དེ་
སྟོན་,པ,ར་མཛད་དེཤེས་རབ་འཆལ་
སྣང་བ་ནི་ལྐོག་ཏུ་གྱུར་,པ,་ཡིན་
